type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,4050,3,20,5
1,1,21524,24879,483,,,,
1,2,22337,17915,389,,,,
1,3,7642,9722,435,,,,
1,4,3707,20036,452,,,,
1,5,15492,2721,343,,,,
1,6,12430,10638,444,,,,
1,7,13595,1918,350,,,,
1,8,4290,2721,307,,,,
1,9,18684,5268,810,,,,
1,10,8686,9546,1002,,,,
1,11,23140,10989,476,,,,
1,12,5263,14289,674,,,,
1,13,19557,17564,691,,,,
1,14,23281,29684,675,,,,
1,15,374,22683,410,,,,
1,16,18804,9082,351,,,,
1,17,5444,25004,786,,,,
1,18,20390,25745,59,,,,
1,19,4310,21692,362,,,,
1,20,8526,2495,550,,,,
2,21,9795,21510,549,,,,
2,22,7758,10895,558,,,,
2,23,12927,2464,851,,,,
2,24,23286,5538,388,,,,
2,25,7416,15826,194,,,,
