type,node_id,id,x,y,demand,Q,k,L,B
0,0,1,12000,16000,0,4000,3,20,10
1,1,2,2011,8053,633,,,,
1,2,3,14930,16046,140,,,,
1,3,4,12059,22809,783,,,,
1,4,5,20229,18078,802,,,,
1,5,6,19838,15720,289,,,,
1,6,7,4882,8944,391,,,,
1,7,8,18152,14829,303,,,,
1,8,9,20952,939,659,,,,
1,9,10,23170,18442,759,,,,
1,10,11,997,7677,151,,,,
1,11,12,3838,24076,229,,,,
1,12,13,21785,12332,424,,,,
1,13,14,23903,563,439,,,,
1,14,15,15733,27639,423,,,,
1,15,16,4450,5945,361,,,,
1,16,17,11186,7301,701,,,,
1,17,18,9931,7827,534,,,,
1,18,19,12701,23875,609,,,,
1,19,20,8726,5130,313,,,,
1,20,21,1048,889,897,,,,
2,21,22,11753,14521,513,,,,
2,22,23,18478,343,823,,,,
2,23,24,8902,17909,413,,,,
2,24,25,4164,17244,349,,,,
2,25,26,21409,23706,557,,,,
2,26,27,13118,5136,595,,,,
2,27,28,23848,6905,685,,,,
2,28,29,8721,15199,702,,,,
2,29,30,14724,3467,562,,,,
2,30,31,882,7119,29,,,,
