type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,2600,5,20,20
1,1,16646,13173,621,,,,
1,2,8626,10036,631,,,,
1,3,8606,5406,773,,,,
1,4,19979,19722,287,,,,
1,5,22578,5795,278,,,,
1,6,10403,17539,678,,,,
1,7,2804,12382,687,,,,
1,8,8526,17187,143,,,,
1,9,14016,23474,347,,,,
1,10,18623,1579,842,,,,
1,11,315,6937,412,,,,
1,12,21464,13536,509,,,,
1,13,2573,20902,833,,,,
1,14,21464,6497,312,,,,
1,15,13314,3762,352,,,,
1,16,22970,23813,594,,,,
1,17,706,13122,522,,,,
1,18,6538,17689,294,,,,
1,19,5414,17551,698,,,,
1,20,656,2006,180,,,,
2,21,2849,18260,413,,,,
2,22,9645,3819,519,,,,
2,23,23858,21824,514,,,,
2,24,19191,20895,454,,,,
2,25,12224,27445,456,,,,
2,26,4285,8963,893,,,,
2,27,14804,10469,388,,,,
2,28,23748,18850,400,,,,
2,29,5820,7206,456,,,,
2,30,15768,10945,523,,,,
2,31,7708,22476,420,,,,
2,32,15025,5902,413,,,,
2,33,19110,2062,421,,,,
2,34,8129,24283,615,,,,
2,35,14322,12012,614,,,,
2,36,5339,26918,886,,,,
2,37,16129,27934,752,,,,
2,38,17404,4546,371,,,,
2,39,22965,24647,376,,,,
2,40,6724,7470,422,,,,
