type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,1700,11,30,8
1,1,5645,24076,556,,,,
1,2,12651,24239,464,,,,
1,3,3728,23699,512,,,,
1,4,5986,11491,326,,,,
1,5,23823,1830,814,,,,
1,6,2674,17225,510,,,,
1,7,9891,15807,620,,,,
1,8,6779,24440,581,,,,
1,9,2945,4289,486,,,,
1,10,22859,16046,675,,,,
1,11,19366,25142,746,,,,
1,12,7682,5569,149,,,,
1,13,3748,16497,562,,,,
1,14,13384,6096,553,,,,
1,15,20330,6748,490,,,,
1,16,20872,625,428,,,,
1,17,13846,23850,664,,,,
1,18,10423,2420,534,,,,
1,19,676,6021,637,,,,
1,20,10804,24302,422,,,,
1,21,21133,11040,574,,,,
1,22,1871,19358,631,,,,
1,23,20300,7300,1000,,,,
1,24,12812,1290,525,,,,
1,25,14066,23110,289,,,,
1,26,23622,12658,643,,,,
1,27,19095,25983,378,,,,
1,28,15351,6987,539,,,,
1,29,4260,14753,424,,,,
1,30,15853,27363,565,,,,
2,31,4967,2049,235,,,,
2,32,9504,26955,527,,,,
2,33,10458,4509,435,,,,
2,34,20556,8035,732,,,,
2,35,23758,6981,428,,,,
2,36,11712,3016,801,,,,
2,37,19652,15073,362,,,,
2,38,17725,3342,688,,,,
