type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,4300,4,30,15
1,1,1620,9521,316,,,,
1,2,17529,5945,727,,,,
1,3,17720,1930,270,,,,
1,4,5022,15807,588,,,,
1,5,7552,2144,775,,,,
1,6,19306,13800,174,,,,
1,7,11918,8907,586,,,,
1,8,17570,13624,846,,,,
1,9,22990,19823,248,,,,
1,10,3808,27840,138,,,,
1,11,9429,3110,511,,,,
1,12,6508,9973,608,,,,
1,13,11547,17250,325,,,,
1,14,6367,2758,211,,,,
1,15,22147,29935,651,,,,
1,16,7733,19898,293,,,,
1,17,9680,9471,426,,,,
1,18,15442,13950,396,,,,
1,19,14528,13724,399,,,,
1,20,9700,28442,276,,,,
1,21,5002,11529,933,,,,
1,22,18925,16108,294,,,,
1,23,22187,224,764,,,,
1,24,23743,20651,783,,,,
1,25,9971,8467,851,,,,
1,26,4711,24628,706,,,,
1,27,9017,4126,745,,,,
1,28,14036,11215,601,,,,
1,29,12199,15331,783,,,,
1,30,8696,23850,430,,,,
2,31,16822,18649,319,,,,
2,32,269,1987,510,,,,
2,33,4084,28411,520,,,,
2,34,17032,20544,319,,,,
2,35,23436,8185,318,,,,
2,36,14382,23354,388,,,,
2,37,1384,23932,653,,,,
2,38,2307,807,870,,,,
2,39,8079,21171,475,,,,
2,40,15768,3907,528,,,,
2,41,18448,4986,539,,,,
2,42,16531,22865,488,,,,
2,43,6503,11774,198,,,,
2,44,15697,18511,323,,,,
2,45,19311,16441,592,,,,
