type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,3000,6,30,30
1,1,7140,18467,607,,,,
1,2,2182,3850,516,,,,
1,3,5293,18179,158,,,,
1,4,19587,20839,776,,,,
1,5,1178,26046,263,,,,
1,6,16064,26661,367,,,,
1,7,11316,10111,674,,,,
1,8,20240,3612,631,,,,
1,9,4440,28681,533,,,,
1,10,12390,25657,527,,,,
1,11,20932,19622,599,,,,
1,12,21002,15268,203,,,,
1,13,5103,11065,101,,,,
1,14,3055,15531,798,,,,
1,15,21755,1403,338,,,,
1,16,10613,10149,475,,,,
1,17,15341,18241,713,,,,
1,18,23953,11679,584,,,,
1,19,1961,349,488,,,,
1,20,324,3649,474,,,,
1,21,22769,5255,418,,,,
1,22,15542,28794,283,,,,
1,23,21725,1604,453,,,,
1,24,2272,10814,177,,,,
1,25,15562,17150,340,,,,
1,26,13153,22269,492,,,,
1,27,20661,20462,431,,,,
1,28,4671,16334,789,,,,
1,29,5615,8969,673,,,,
1,30,5524,6447,617,,,,
2,31,17534,15977,549,,,,
2,32,18799,21748,541,,,,
2,33,16972,10782,549,,,,
2,34,23938,25349,547,,,,
2,35,219,5600,541,,,,
2,36,9183,12852,611,,,,
2,37,14061,6039,677,,,,
2,38,9283,5701,497,,,,
2,39,8932,18323,299,,,,
2,40,10357,23492,347,,,,
2,41,7196,17181,968,,,,
2,42,23296,27495,120,,,,
2,43,7427,9013,421,,,,
2,44,10357,8185,547,,,,
2,45,7848,28725,416,,,,
2,46,6292,16303,797,,,,
2,47,7738,22539,903,,,,
2,48,21499,12150,609,,,,
2,49,4897,25889,634,,,,
2,50,18307,16642,941,,,,
2,51,21901,14120,753,,,,
2,52,7256,20255,333,,,,
2,53,9534,23191,606,,,,
2,54,23095,13731,348,,,,
2,55,13951,28624,561,,,,
2,56,3943,17721,323,,,,
2,57,10076,6203,148,,,,
2,58,8691,22438,618,,,,
2,59,19923,21272,434,,,,
2,60,23597,19063,772,,,,
