type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,6400,5,45,12
1,1,5856,23988,556,,,,
1,2,12581,24503,469,,,,
1,3,3938,23963,309,,,,
1,4,6197,11755,322,,,,
1,5,23753,1742,814,,,,
1,6,2603,17137,517,,,,
1,7,9820,15720,623,,,,
1,8,6709,24352,581,,,,
1,9,3156,4201,484,,,,
1,10,22789,16309,672,,,,
1,11,19577,25054,748,,,,
1,12,7612,5833,146,,,,
1,13,3677,16761,569,,,,
1,14,13595,6360,548,,,,
1,15,20260,7012,487,,,,
1,16,21083,538,428,,,,
1,17,13775,23762,657,,,,
1,18,10634,2332,532,,,,
1,19,606,5933,642,,,,
1,20,10734,24214,419,,,,
1,21,21344,10952,567,,,,
1,22,2081,19622,634,,,,
1,23,20229,7213,1005,,,,
1,24,12741,1203,523,,,,
1,25,13996,23022,292,,,,
1,26,23833,12922,647,,,,
1,27,19306,25895,378,,,,
1,28,15281,6899,539,,,,
1,29,4189,14666,424,,,,
1,30,15783,27275,567,,,,
1,31,9730,17024,567,,,,
1,32,6247,26347,669,,,,
1,33,3818,1278,364,,,,
1,34,14388,17727,202,,,,
1,35,3396,25644,766,,,,
1,36,21253,14239,510,,,,
1,37,777,27903,327,,,,
1,38,7261,29321,752,,,,
1,39,12480,6447,384,,,,
1,40,1038,15971,866,,,,
1,41,6960,19233,496,,,,
1,42,6578,17100,212,,,,
1,43,877,4477,809,,,,
1,44,4932,15883,331,,,,
1,45,10824,20312,479,,,,
2,46,22493,15550,431,,,,
2,47,14754,25876,446,,,,
2,48,19682,18963,443,,,,
2,49,18036,6617,369,,,,
2,50,22473,1021,377,,,,
2,51,16882,2589,491,,,,
2,52,17404,12200,371,,,,
2,53,10639,19051,548,,,,
2,54,15226,13242,782,,,,
2,55,21178,1874,296,,,,
2,56,2056,24446,559,,,,
2,57,23145,16842,490,,,,
