type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,4000,6,45,23
1,1,7030,19584,294,,,,
1,2,4782,23750,308,,,,
1,3,10955,26949,449,,,,
1,4,4099,18568,565,,,,
1,5,12892,12470,354,,,,
1,6,6769,1868,355,,,,
1,7,5083,4189,561,,,,
1,8,16857,16297,421,,,,
1,9,4260,261,422,,,,
1,10,14920,15820,509,,,,
1,11,2523,28304,486,,,,
1,12,5725,12909,387,,,,
1,13,16746,27401,102,,,,
1,14,17690,20651,184,,,,
1,15,15452,25042,222,,,,
1,16,7160,22746,470,,,,
1,17,14809,19534,200,,,,
1,18,2694,1755,371,,,,
1,19,7763,9095,575,,,,
1,20,8776,1203,453,,,,
1,21,10342,21855,707,,,,
1,22,6107,4176,269,,,,
1,23,15351,25506,539,,,,
1,24,23030,23323,358,,,,
1,25,15241,18706,625,,,,
1,26,15823,12257,679,,,,
1,27,2393,29321,318,,,,
1,28,13534,14151,575,,,,
1,29,17399,25481,954,,,,
1,30,20019,11742,205,,,,
1,31,4782,5230,501,,,,
1,32,16184,18380,306,,,,
1,33,4992,27225,707,,,,
1,34,6588,17326,236,,,,
1,35,10413,28982,508,,,,
1,36,19436,21403,548,,,,
1,37,13916,8631,461,,,,
1,38,11426,13699,590,,,,
1,39,7743,24565,522,,,,
1,40,11186,7915,501,,,,
1,41,8064,15092,1030,,,,
1,42,22709,16610,649,,,,
1,43,8104,7727,347,,,,
1,44,3045,22959,567,,,,
1,45,23893,952,811,,,,
2,46,4405,23028,1033,,,,
2,47,20807,3179,445,,,,
2,48,1595,26792,449,,,,
2,49,23808,13919,570,,,,
2,50,4385,8499,383,,,,
2,51,22935,9891,488,,,,
2,52,23316,19678,370,,,,
2,53,16691,26705,550,,,,
2,54,21138,20720,382,,,,
2,55,3231,9528,700,,,,
2,56,7968,1924,959,,,,
2,57,5198,24496,492,,,,
2,58,18699,14559,253,,,,
2,59,21168,16955,468,,,,
2,60,15587,18750,411,,,,
2,61,1645,22865,595,,,,
2,62,9384,5237,580,,,,
2,63,17063,17394,401,,,,
2,64,10207,24320,522,,,,
2,65,17785,6679,457,,,,
2,66,4666,7269,177,,,,
2,67,2669,26065,300,,,,
2,68,3582,4559,496,,,,
