type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,5700,6,45,45
1,1,10272,7075,709,,,,
1,2,5103,22545,421,,,,
1,3,8285,6962,665,,,,
1,4,22649,9710,671,,,,
1,5,4310,14653,767,,,,
1,6,18985,15356,666,,,,
1,7,14588,28894,778,,,,
1,8,23301,22482,731,,,,
1,9,7572,17288,435,,,,
1,10,15311,14352,427,,,,
1,11,23923,8405,301,,,,
1,12,264,3787,503,,,,
1,13,8234,29672,318,,,,
1,14,5976,4226,300,,,,
1,15,746,19835,641,,,,
1,16,13394,28668,177,,,,
1,17,18192,7200,817,,,,
1,18,3156,374,489,,,,
1,19,4952,18932,185,,,,
1,20,3186,22169,571,,,,
1,21,1620,24214,318,,,,
1,22,18463,17489,383,,,,
1,23,716,20387,551,,,,
1,24,5334,29333,77,,,,
1,25,18413,6109,840,,,,
1,26,16355,10964,390,,,,
1,27,23652,9245,531,,,,
1,28,7733,5205,93,,,,
1,29,8746,27928,370,,,,
1,30,8445,25494,915,,,,
1,31,14217,399,520,,,,
1,32,22558,24477,619,,,,
1,33,8234,14364,317,,,,
1,34,6909,15770,154,,,,
1,35,7743,8643,517,,,,
1,36,13986,12545,264,,,,
1,37,5334,10814,877,,,,
1,38,23923,27539,299,,,,
1,39,16967,19270,532,,,,
1,40,17349,14101,413,,,,
1,41,11657,2319,445,,,,
1,42,23100,15142,562,,,,
1,43,5504,17476,360,,,,
1,44,21384,14189,83,,,,
1,45,15381,3574,425,,,,
2,46,8892,6203,586,,,,
2,47,13399,1309,595,,,,
2,48,6011,9879,798,,,,
2,49,16330,12313,725,,,,
2,50,9012,21849,325,,,,
2,51,15386,8198,236,,,,
2,52,3873,2940,919,,,,
2,53,9073,24571,502,,,,
2,54,1625,3894,137,,,,
2,55,19542,7658,250,,,,
2,56,12666,15362,316,,,,
2,57,21720,22539,637,,,,
2,58,23326,27558,406,,,,
2,59,13620,15262,617,,,,
2,60,20144,1661,362,,,,
2,61,18026,21083,342,,,,
2,62,13871,18059,335,,,,
2,63,9374,15525,753,,,,
2,64,14623,7407,475,,,,
2,65,10307,4722,609,,,,
2,66,9294,20619,323,,,,
2,67,19120,24019,851,,,,
2,68,7858,17470,650,,,,
2,69,10598,19377,432,,,,
2,70,21349,19402,785,,,,
2,71,6894,25613,311,,,,
2,72,12164,16717,280,,,,
2,73,6654,18862,824,,,,
2,74,14633,331,1101,,,,
2,75,8450,5174,334,,,,
2,76,15296,20368,577,,,,
2,77,10508,19452,577,,,,
2,78,621,7570,684,,,,
2,79,11823,7570,515,,,,
2,80,5288,12940,346,,,,
2,81,10197,4960,692,,,,
2,82,15627,26692,721,,,,
2,83,5048,17671,864,,,,
2,84,18177,9653,773,,,,
2,85,18036,21309,573,,,,
2,86,23406,12564,435,,,,
2,87,359,21046,968,,,,
2,88,17715,25726,657,,,,
2,89,21499,23016,816,,,,
2,90,11994,10054,602,,,,
