type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,4400,10,75,19
1,1,17108,11792,732,,,,
1,2,5815,19873,639,,,,
1,3,3015,26723,684,,,,
1,4,11256,22081,903,,,,
1,5,10935,19459,192,,,,
1,6,19768,12420,487,,,,
1,7,9108,18743,199,,,,
1,8,11979,4590,557,,,,
1,9,14267,22181,462,,,,
1,10,16164,11504,255,,,,
1,11,18794,27991,523,,,,
1,12,12812,15983,727,,,,
1,13,15000,4302,343,,,,
1,14,6900,1466,324,,,,
1,15,19687,9509,664,,,,
1,16,2212,10952,404,,,,
1,17,1027,11566,237,,,,
1,18,3868,27702,109,,,,
1,19,23964,8693,416,,,,
1,20,16074,4540,796,,,,
1,21,8526,28668,947,,,,
1,22,19246,14904,409,,,,
1,23,19517,10237,777,,,,
1,24,18011,11792,499,,,,
1,25,1389,10650,463,,,,
1,26,16927,8116,418,,,,
1,27,18523,28831,755,,,,
1,28,20480,17401,720,,,,
1,29,15512,2558,393,,,,
1,30,9088,22382,342,,,,
1,31,8877,19873,539,,,,
1,32,11376,6761,445,,,,
1,33,15070,19082,545,,,,
1,34,7622,13097,579,,,,
1,35,2473,28405,743,,,,
1,36,2593,24565,286,,,,
1,37,11958,15619,500,,,,
1,38,706,24603,920,,,,
1,39,11768,9120,556,,,,
1,40,6307,26209,440,,,,
1,41,18352,6861,469,,,,
1,42,23953,12294,585,,,,
1,43,375,7062,583,,,,
1,44,10132,26385,507,,,,
1,45,21865,8204,452,,,,
1,46,17539,21215,558,,,,
1,47,4189,7627,422,,,,
1,48,2523,9785,288,,,,
1,49,10955,3988,247,,,,
1,50,17640,6058,444,,,,
1,51,11386,25506,276,,,,
1,52,19376,22156,375,,,,
1,53,21514,9960,654,,,,
1,54,11868,11868,840,,,,
1,55,9860,15745,539,,,,
1,56,305,18191,581,,,,
1,57,17439,10814,271,,,,
1,58,12681,24038,554,,,,
1,59,12069,23034,612,,,,
1,60,5765,12583,701,,,,
1,61,10624,21240,906,,,,
1,62,7974,27263,576,,,,
1,63,5344,2771,501,,,,
1,64,23652,20726,331,,,,
1,65,12962,26636,753,,,,
1,66,9359,6234,715,,,,
1,67,2142,29998,604,,,,
1,68,17861,27313,669,,,,
1,69,12912,11692,812,,,,
1,70,5293,6698,362,,,,
1,71,14358,29760,515,,,,
1,72,566,17740,521,,,,
1,73,22367,21805,875,,,,
1,74,7672,12997,920,,,,
1,75,5886,16397,842,,,,
2,76,15547,18725,295,,,,
2,77,7768,29026,190,,,,
2,78,19100,28624,593,,,,
2,79,3171,9666,529,,,,
2,80,17715,26341,653,,,,
2,81,19632,29929,509,,,,
2,82,22001,2790,433,,,,
2,83,8290,5161,877,,,,
2,84,18498,8449,481,,,,
2,85,15366,970,386,,,,
2,86,17675,3706,343,,,,
2,87,15296,23580,384,,,,
2,88,6212,9565,571,,,,
2,89,7005,17721,623,,,,
2,90,18438,16240,715,,,,
2,91,12506,19791,655,,,,
2,92,16611,14910,723,,,,
2,93,6302,5048,423,,,,
2,94,11763,25613,143,,,,
