type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,4100,10,75,38
1,1,21133,26347,572,,,,
1,2,937,7815,478,,,,
1,3,13304,18492,524,,,,
1,4,12501,17765,239,,,,
1,5,3206,19145,827,,,,
1,6,2854,15845,430,,,,
1,7,7361,25644,433,,,,
1,8,907,15406,294,,,,
1,9,18503,6648,695,,,,
1,10,11216,29710,789,,,,
1,11,4731,20023,558,,,,
1,12,13986,11930,56,,,,
1,13,7201,3900,577,,,,
1,14,13916,4804,861,,,,
1,15,17589,16673,305,,,,
1,16,15351,21679,739,,,,
1,17,5193,26297,675,,,,
1,18,22849,15820,648,,,,
1,19,9830,638,453,,,,
1,20,17178,400,329,,,,
1,21,656,28179,382,,,,
1,22,2473,18154,544,,,,
1,23,17630,17313,415,,,,
1,24,7080,22432,636,,,,
1,25,5484,25293,898,,,,
1,26,12119,26498,557,,,,
1,27,4601,21040,190,,,,
1,28,21795,13173,253,,,,
1,29,7572,1980,630,,,,
1,30,16244,25895,480,,,,
1,31,6920,26861,582,,,,
1,32,375,17313,182,,,,
1,33,19095,3637,580,,,,
1,34,2744,1391,513,,,,
1,35,12761,20525,580,,,,
1,36,3838,20249,426,,,,
1,37,4230,15306,737,,,,
1,38,7793,28028,663,,,,
1,39,9740,16021,394,,,,
1,40,19236,7025,380,,,,
1,41,22307,21328,505,,,,
1,42,19005,500,526,,,,
1,43,10312,29095,621,,,,
1,44,11306,21981,441,,,,
1,45,14066,7802,691,,,,
1,46,556,24201,496,,,,
1,47,2373,14791,659,,,,
1,48,15662,20864,626,,,,
1,49,15120,18718,485,,,,
1,50,12621,24176,578,,,,
1,51,21534,17451,509,,,,
1,52,20480,18016,518,,,,
1,53,13645,9471,293,,,,
1,54,19095,15117,380,,,,
1,55,8255,22821,573,,,,
1,56,13374,28831,125,,,,
1,57,21534,25105,711,,,,
1,58,7873,12068,890,,,,
1,59,22147,15243,849,,,,
1,60,6799,8354,40,,,,
1,61,2684,20663,343,,,,
1,62,15130,425,114,,,,
1,63,3386,10111,542,,,,
1,64,12651,1278,666,,,,
1,65,17268,11190,391,,,,
1,66,4480,24528,449,,,,
1,67,12149,22119,637,,,,
1,68,19105,22997,409,,,,
1,69,5183,11378,649,,,,
1,70,12380,10124,498,,,,
1,71,12330,6661,551,,,,
1,72,13494,28204,265,,,,
1,73,2603,6272,317,,,,
1,74,2724,1554,661,,,,
1,75,15823,8430,679,,,,
2,76,520,15073,794,,,,
2,77,16952,25287,890,,,,
2,78,3933,24797,294,,,,
2,79,11933,6102,428,,,,
2,80,2689,22689,362,,,,
2,81,4817,26190,608,,,,
2,82,6834,28963,737,,,,
2,83,17334,1246,174,,,,
2,84,3472,4797,387,,,,
2,85,270,27231,483,,,,
2,86,2789,29879,440,,,,
2,87,340,19666,480,,,,
2,88,15186,5563,268,,,,
2,89,15908,13982,722,,,,
2,90,3271,12413,409,,,,
2,91,21268,15876,755,,,,
2,92,1584,10908,220,,,,
2,93,15206,1309,729,,,,
2,94,20877,21786,640,,,,
2,95,20154,5098,585,,,,
2,96,23266,5701,33,,,,
2,97,10759,3731,489,,,,
2,98,19361,12865,732,,,,
2,99,9032,2551,184,,,,
2,100,19421,4459,510,,,,
2,101,13760,6817,219,,,,
2,102,10478,519,692,,,,
2,103,23657,22752,745,,,,
2,104,2648,22401,642,,,,
2,105,12807,25437,311,,,,
2,106,6543,29967,507,,,,
2,107,4064,20920,470,,,,
2,108,8701,14396,442,,,,
2,109,19933,14459,561,,,,
2,110,19592,26077,390,,,,
2,111,10568,11924,147,,,,
2,112,1615,26014,506,,,,
2,113,22613,19101,578,,,,
