type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,5000,8,75,75
1,1,10202,6987,709,,,,
1,2,5032,22457,418,,,,
1,3,8214,6874,660,,,,
1,4,22578,9622,681,,,,
1,5,4240,14917,765,,,,
1,6,19196,15268,664,,,,
1,7,14518,28806,773,,,,
1,8,23231,22395,731,,,,
1,9,7502,17552,435,,,,
1,10,15241,14264,424,,,,
1,11,23853,8317,297,,,,
1,12,275,3699,496,,,,
1,13,8164,29935,313,,,,
1,14,5906,4139,300,,,,
1,15,957,20099,638,,,,
1,16,13605,28932,172,,,,
1,17,18403,7112,810,,,,
1,18,3085,287,482,,,,
1,19,5163,19195,190,,,,
1,20,3115,22432,564,,,,
1,21,1831,24126,320,,,,
1,22,18393,17752,378,,,,
1,23,646,20299,555,,,,
1,24,5263,29597,75,,,,
1,25,18623,6021,840,,,,
1,26,16285,10876,392,,,,
1,27,23582,9157,528,,,,
1,28,7662,5117,91,,,,
1,29,8676,27840,370,,,,
1,30,8375,25406,917,,,,
1,31,14147,311,518,,,,
1,32,22488,24389,621,,,,
1,33,8164,14628,317,,,,
1,34,6839,15682,149,,,,
1,35,7953,8555,519,,,,
1,36,13916,12457,261,,,,
1,37,5263,11077,875,,,,
1,38,23853,27451,297,,,,
1,39,16897,19534,534,,,,
1,40,17560,14013,421,,,,
1,41,11587,2231,445,,,,
1,42,23030,15055,559,,,,
1,43,5434,17388,360,,,,
1,44,21313,14101,81,,,,
1,45,15311,3486,422,,,,
1,46,16827,23888,733,,,,
1,47,9459,17865,401,,,,
1,48,13635,27765,459,,,,
1,49,4330,29534,224,,,,
1,50,16857,8643,618,,,,
1,51,16586,5657,652,,,,
1,52,6418,10048,751,,,,
1,53,14819,5419,627,,,,
1,54,11296,14716,215,,,,
1,55,15271,25807,513,,,,
1,56,11557,5996,359,,,,
1,57,10674,5832,449,,,,
1,58,12039,26799,326,,,,
1,59,17128,3361,593,,,,
1,60,16947,299,275,,,,
1,61,3788,16523,276,,,,
1,62,7261,29935,750,,,,
1,63,10613,13361,477,,,,
1,64,11045,8354,507,,,,
1,65,6337,21830,528,,,,
1,66,8857,9170,487,,,,
1,67,7341,10500,578,,,,
1,68,5183,15205,247,,,,
1,69,6217,7150,387,,,,
1,70,4721,9546,332,,,,
1,71,19487,9822,691,,,,
1,72,11818,5544,99,,,,
1,73,15602,17175,254,,,,
1,74,7030,15757,497,,,,
1,75,10945,26723,421,,,,
2,76,21278,27583,384,,,,
2,77,16631,26843,177,,,,
2,78,6603,15136,284,,,,
2,79,17665,14960,317,,,,
2,80,11271,20506,346,,,,
2,81,16320,12702,490,,,,
2,82,21610,4258,525,,,,
2,83,10889,25412,457,,,,
2,84,359,17219,772,,,,
2,85,23878,28699,373,,,,
2,86,5389,20130,627,,,,
2,87,6001,28787,569,,,,
2,88,23697,3292,457,,,,
2,89,3622,406,410,,,,
2,90,17976,17620,204,,,,
2,91,15035,9954,440,,,,
2,92,22483,23593,608,,,,
2,93,15025,2690,416,,,,
2,94,23406,11949,432,,,,
2,95,2026,14132,479,,,,
2,96,7707,3342,619,,,,
2,97,22403,20067,377,,,,
2,98,9996,17984,723,,,,
2,99,2729,26541,671,,,,
2,100,16250,17056,497,,,,
2,101,13509,8461,704,,,,
2,102,13218,20594,476,,,,
2,103,5178,1698,232,,,,
2,104,11301,19954,429,,,,
2,105,380,12037,597,,,,
2,106,21389,5350,496,,,,
2,107,21690,14822,556,,,,
2,108,5459,27257,631,,,,
2,109,19331,16015,648,,,,
2,110,22262,16416,575,,,,
2,111,16019,20782,438,,,,
2,112,10478,23480,295,,,,
2,113,10116,5262,664,,,,
2,114,4154,9365,520,,,,
2,115,399,5149,283,,,,
2,116,14111,24195,612,,,,
2,117,8771,25349,643,,,,
2,118,2819,29063,327,,,,
2,119,10548,12087,92,,,,
2,120,4957,13919,405,,,,
2,121,3331,795,385,,,,
2,122,6573,381,598,,,,
2,123,10538,27169,461,,,,
2,124,18488,8223,252,,,,
2,125,5830,6818,487,,,,
2,126,3171,28185,529,,,,
2,127,12204,5262,596,,,,
2,128,19020,21272,364,,,,
2,129,4305,27934,351,,,,
2,130,4646,8047,321,,,,
2,131,4144,21234,699,,,,
2,132,18307,8988,339,,,,
2,133,10227,20067,580,,,,
2,134,22754,14484,375,,,,
2,135,21549,29954,551,,,,
2,136,4385,15538,376,,,,
2,137,12475,27382,565,,,,
2,138,21810,2715,495,,,,
2,139,5017,16993,578,,,,
2,140,13569,26491,277,,,,
2,141,22242,5099,522,,,,
2,142,13850,17608,475,,,,
2,143,14583,26868,756,,,,
2,144,9615,26717,438,,,,
2,145,4124,28085,632,,,,
2,146,10910,14383,521,,,,
2,147,13720,14797,502,,,,
2,148,4275,1083,462,,,,
2,149,17876,21911,512,,,,
2,150,741,7558,425,,,,
