type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,5200,11,100,25
1,1,13584,24302,515,,,,
1,2,5494,21077,329,,,,
1,3,5685,16711,671,,,,
1,4,16987,939,592,,,,
1,5,19517,17275,579,,,,
1,6,7552,28932,776,,,,
1,7,23883,23687,587,,,,
1,8,5534,28756,445,,,,
1,9,10955,4603,443,,,,
1,10,15773,12972,737,,,,
1,11,21394,18242,507,,,,
1,12,18473,25105,414,,,,
1,13,23512,2031,731,,,,
1,14,18332,17890,812,,,,
1,15,10111,14716,248,,,,
1,16,19979,5030,487,,,,
1,17,21645,24251,425,,,,
1,18,3406,29082,997,,,,
1,19,2493,28856,798,,,,
1,20,21665,13574,680,,,,
1,21,16967,26309,532,,,,
1,22,6889,1240,695,,,,
1,23,10152,15356,162,,,,
1,24,11708,5431,387,,,,
1,25,21936,23248,52,,,,
1,26,16676,9408,505,,,,
1,27,20982,18906,344,,,,
1,28,2282,26347,404,,,,
1,29,364,311,382,,,,
1,30,20661,8982,628,,,,
1,31,23441,25255,332,,,,
1,32,5002,663,533,,,,
1,33,11547,1943,725,,,,
1,34,7301,14302,467,,,,
1,35,5143,18392,527,,,,
1,36,8325,3423,775,,,,
1,37,20541,13436,489,,,,
1,38,12209,11115,811,,,,
1,39,2262,14415,351,,,,
1,40,23863,20023,530,,,,
1,41,15040,19634,657,,,,
1,42,23562,13762,667,,,,
1,43,2975,27313,968,,,,
1,44,15793,5155,196,,,,
1,45,6659,5933,236,,,,
1,46,5253,7639,444,,,,
1,47,18613,12834,11,,,,
1,48,20009,3863,972,,,,
1,49,7572,16673,434,,,,
1,50,17178,7439,329,,,,
1,51,13916,15669,458,,,,
1,52,967,1190,667,,,,
1,53,6237,7602,443,,,,
1,54,23512,28204,529,,,,
1,55,495,20864,322,,,,
1,56,18001,12181,671,,,,
1,57,13986,23411,263,,,,
1,58,12430,25331,646,,,,
1,59,14528,13110,596,,,,
1,60,11567,21529,788,,,,
1,61,19276,18794,695,,,,
1,62,19547,13511,869,,,,
1,63,19908,8154,689,,,,
1,64,17278,14628,416,,,,
1,65,9720,9145,540,,,,
1,66,9037,7790,200,,,,
1,67,4812,20337,594,,,,
1,68,23592,6171,158,,,,
1,69,21775,9509,194,,,,
1,70,17078,23210,646,,,,
1,71,4852,4703,305,,,,
1,72,18122,11554,618,,,,
1,73,19055,4578,467,,,,
1,74,7281,14465,202,,,,
1,75,8485,6648,631,,,,
1,76,13042,15469,377,,,,
1,77,13735,9396,348,,,,
1,78,15823,26949,479,,,,
1,79,3326,10864,171,,,,
1,80,20531,2608,861,,,,
1,81,17710,9007,441,,,,
1,82,6879,15707,468,,,,
1,83,1549,2395,323,,,,
1,84,4199,18718,451,,,,
1,85,19155,18806,749,,,,
1,86,16345,25431,565,,,,
1,87,15050,26284,482,,,,
1,88,224,18492,355,,,,
1,89,5966,23135,72,,,,
1,90,8114,11165,575,,,,
1,91,8285,7577,261,,,,
1,92,20782,16623,976,,,,
1,93,14036,7388,403,,,,
1,94,18362,17953,498,,,,
1,95,16586,20964,248,,,,
1,96,5484,28505,502,,,,
1,97,7823,16610,548,,,,
1,98,10985,1190,533,,,,
1,99,4410,22194,50,,,,
1,100,14789,8831,543,,,,
2,101,13760,6817,219,,,,
2,102,10478,519,692,,,,
2,103,23657,22752,745,,,,
2,104,2648,22401,642,,,,
2,105,12807,25437,311,,,,
2,106,6543,29967,507,,,,
2,107,4064,20920,470,,,,
2,108,8701,14396,442,,,,
2,109,19933,14459,561,,,,
2,110,19592,26077,390,,,,
2,111,10568,11924,147,,,,
2,112,1615,26014,506,,,,
2,113,22613,19101,578,,,,
2,114,13660,4070,529,,,,
2,115,6643,10983,598,,,,
2,116,17705,11422,427,,,,
2,117,9163,23881,352,,,,
2,118,219,8812,543,,,,
2,119,4887,3317,610,,,,
2,120,20164,16542,419,,,,
2,121,15898,14371,496,,,,
2,122,15868,25174,408,,,,
2,123,16771,3091,576,,,,
2,124,21871,25538,665,,,,
2,125,6292,5437,597,,,,
