type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,8500,7,100,50
1,1,16967,11617,734,,,,
1,2,5956,19697,648,,,,
1,3,3155,26548,684,,,,
1,4,11396,21905,903,,,,
1,5,11075,19634,187,,,,
1,6,19908,12595,490,,,,
1,7,9248,18568,195,,,,
1,8,11838,4766,357,,,,
1,9,14408,22006,457,,,,
1,10,16024,11328,250,,,,
1,11,18654,27815,525,,,,
1,12,12952,16159,720,,,,
1,13,14859,4477,340,,,,
1,14,6759,1642,328,,,,
1,15,19547,9684,667,,,,
1,16,2352,11127,402,,,,
1,17,1168,11742,240,,,,
1,18,3728,27526,109,,,,
1,19,23823,8869,414,,,,
1,20,15933,4364,796,,,,
1,21,8385,28844,943,,,,
1,22,19105,14728,406,,,,
1,23,19376,10061,777,,,,
1,24,18152,11617,501,,,,
1,25,1248,10826,465,,,,
1,26,17068,8292,418,,,,
1,27,18382,29007,752,,,,
1,28,20621,17225,913,,,,
1,29,15371,2382,398,,,,
1,30,9228,22558,538,,,,
1,31,8736,20048,546,,,,
1,32,11517,6585,448,,,,
1,33,14929,19258,545,,,,
1,34,7763,12922,577,,,,
1,35,2613,28229,748,,,,
1,36,2734,24741,290,,,,
1,37,12099,15795,498,,,,
1,38,566,24779,927,,,,
1,39,11627,9296,558,,,,
1,40,6167,26033,445,,,,
1,41,18212,7037,469,,,,
1,42,23813,12118,583,,,,
1,43,234,7238,579,,,,
1,44,10272,26209,510,,,,
1,45,22006,8028,452,,,,
1,46,17680,21039,558,,,,
1,47,4049,7802,420,,,,
1,48,2382,9960,284,,,,
1,49,11095,4164,249,,,,
1,50,17499,5883,446,,,,
1,51,11246,25331,272,,,,
1,52,19236,22332,382,,,,
1,53,21374,9785,652,,,,
1,54,12009,12043,840,,,,
1,55,10001,15569,534,,,,
1,56,445,18016,585,,,,
1,57,17298,10638,276,,,,
1,58,12822,23863,549,,,,
1,59,11928,23210,617,,,,
1,60,5906,12407,701,,,,
1,61,10483,21065,908,,,,
1,62,7833,27087,576,,,,
1,63,5484,2947,505,,,,
1,64,23793,20550,329,,,,
1,65,13103,26460,753,,,,
1,66,9499,6410,710,,,,
1,67,2001,374,602,,,,
1,68,18001,27489,674,,,,
1,69,13053,11868,805,,,,
1,70,5434,6522,353,,,,
1,71,14217,29584,519,,,,
1,72,425,17564,525,,,,
1,73,22227,21981,882,,,,
1,74,7532,13173,918,,,,
1,75,5745,16573,842,,,,
1,76,7522,6523,495,,,,
1,77,5083,11843,769,,,,
1,78,4249,10701,195,,,,
1,79,12762,5833,581,,,,
1,80,2905,8706,175,,,,
1,81,21233,26497,456,,,,
1,82,7482,14151,381,,,,
1,83,22879,12407,132,,,,
1,84,22468,9860,364,,,,
1,85,10573,20989,765,,,,
1,86,4842,8919,279,,,,
1,87,556,20989,497,,,,
1,88,6669,24678,667,,,,
1,89,9278,10362,482,,,,
1,90,8505,9697,485,,,,
1,91,5404,17326,871,,,,
1,92,15120,7853,485,,,,
1,93,5524,9659,812,,,,
1,94,6648,1529,614,,,,
1,95,1881,16109,662,,,,
1,96,11999,4427,814,,,,
1,97,11206,3925,758,,,,
1,98,11165,29810,848,,,,
1,99,1600,2031,261,,,,
1,100,9198,349,254,,,,
2,101,1725,21949,820,,,,
2,102,22443,15651,291,,,,
2,103,11622,7533,344,,,,
2,104,14613,7181,244,,,,
2,105,771,10569,714,,,,
2,106,18508,15099,311,,,,
2,107,16029,5701,267,,,,
2,108,20666,29528,638,,,,
2,109,7898,29590,362,,,,
2,110,7557,11209,594,,,,
2,111,22533,27056,548,,,,
2,112,13861,10795,307,,,,
2,113,10578,3881,382,,,,
2,114,1625,19201,335,,,,
2,115,18608,26115,394,,,,
2,116,5670,26554,631,,,,
2,117,21409,9013,755,,,,
2,118,12465,23593,341,,,,
2,119,16852,18097,206,,,,
2,120,8410,1322,417,,,,
2,121,3863,29503,693,,,,
2,122,4114,9954,606,,,,
2,123,4736,18223,577,,,,
2,124,9835,10318,268,,,,
2,125,18257,20218,396,,,,
2,126,12606,23154,738,,,,
2,127,18578,11360,709,,,,
2,128,22262,8762,577,,,,
2,129,4626,26730,264,,,,
2,130,1976,18060,334,,,,
2,131,22413,12376,410,,,,
2,132,9725,11171,352,,,,
2,133,22724,3555,292,,,,
2,134,8260,9540,589,,,,
2,135,3994,6140,268,,,,
2,136,7979,3116,190,,,,
2,137,12867,25914,482,,,,
2,138,19211,12464,711,,,,
2,139,23637,8223,491,,,,
2,140,5058,28762,290,,,,
2,141,10809,18674,434,,,,
2,142,23427,12401,490,,,,
2,143,20817,3141,878,,,,
2,144,12997,14032,451,,,,
2,145,4586,26704,147,,,,
2,146,8099,24220,334,,,,
2,147,8129,5763,420,,,,
2,148,19833,3442,680,,,,
2,149,6232,5575,628,,,,
2,150,10107,2438,239,,,,
