type,node_id,x,y,demand,Q,k,L,B
0,0,12000,16000,0,5700,11,100,100
1,1,17346,10153,642,,,,
1,2,3062,29451,657,,,,
1,3,21482,17782,595,,,,
1,4,2591,24181,712,,,,
1,5,23349,2864,704,,,,
1,6,5190,7393,306,,,,
1,7,15469,24495,307,,,,
1,8,15208,22086,770,,,,
1,9,14576,20630,770,,,,
1,10,13482,21170,468,,,,
1,11,13050,19137,441,,,,
1,12,4217,18171,134,,,,
1,13,3203,18146,452,,,,
1,14,16111,26176,738,,,,
1,15,1838,15699,574,,,,
1,16,5512,28184,619,,,,
1,17,1406,10103,545,,,,
1,18,974,7456,520,,,,
1,19,18008,29576,529,,,,
1,20,7268,6816,407,,,,
1,21,20799,12249,657,,,,
1,22,4528,9702,418,,,,
1,23,1737,16164,691,,,,
1,24,21381,28761,414,,,,
1,25,1557,9275,175,,,,
1,26,14385,17958,224,,,,
1,27,12638,19802,468,,,,
1,28,11745,19765,529,,,,
1,29,3855,16226,312,,,,
1,30,18440,17268,557,,,,
1,31,15168,25887,253,,,,
1,32,14535,23817,453,,,,
1,33,15308,17795,455,,,,
1,34,4869,22675,590,,,,
1,35,20939,19463,56,,,,
1,36,17928,27017,497,,,,
1,37,372,29024,614,,,,
1,38,9848,19225,739,,,,
1,39,18129,15223,66,,,,
1,40,9537,13353,450,,,,
1,41,18661,5310,782,,,,
1,42,21271,21960,600,,,,
1,43,18631,28209,299,,,,
1,44,1537,28573,923,,,,
1,45,10350,21697,564,,,,
1,46,2751,15925,573,,,,
1,47,10340,13817,735,,,,
1,48,5823,27017,299,,,,
1,49,11333,2525,359,,,,
1,50,14746,15812,255,,,,
1,51,5712,16389,783,,,,
1,52,10571,24432,591,,,,
1,53,9788,23541,768,,,,
1,54,21150,6665,652,,,,
1,55,16362,21672,646,,,,
1,56,3675,5511,198,,,,
1,57,17607,9087,586,,,,
1,58,10139,3880,567,,,,
1,59,6184,14005,323,,,,
1,60,21030,14947,317,,,,
1,61,22686,4557,820,,,,
