node_id,PtID,log,lat
1.0,273469,-84.61983816,42.74542217
2.0,273476,-84.61978933,42.74420895
3.0,273509,-84.61961674,42.72515611
4.0,273510,-84.61960383,42.72180221
5.0,273513,-84.61957444,42.73471451
6.0,273518,-84.61953551,42.72848261
7.0,273519,-84.61953516,42.74109605
8.0,273520,-84.61952015,42.73752601
9.0,273521,-84.61951944,42.72398686
10.0,273526,-84.61950829,42.72948462
11.0,273527,-84.61950748,42.73126651
12.0,273529,-84.61950477,42.730365500000005
13.0,273536,-84.6194563,42.72088051
14.0,273546,-84.61939421,42.74109548
15.0,273555,-84.61930569,42.75242486
16.0,273557,-84.61930287,42.75195711
17.0,273560,-84.61929535,42.75145483
18.0,273562,-84.61928341,42.7038144
19.0,273563,-84.61928318,42.753376200000005
20.0,273566,-84.61923819,42.72508809
21.0,273588,-84.61907659,42.72663381
22.0,273589,-84.61907563,42.71931377
23.0,273591,-84.61905331,42.72763681
24.0,273592,-84.61905012,42.72130042
25.0,273594,-84.61902979,42.71209604
26.0,273603,-84.61895575,42.724656
27.0,273604,-84.61891728,42.75801498
28.0,273610,-84.61886395,42.72349717
29.0,273617,-84.6188454,42.70292826
30.0,273621,-84.61882568,42.72501396
31.0,273628,-84.61880444,42.75645645
32.0,273633,-84.61879032,42.72224272
33.0,273636,-84.61877845,42.7211951
34.0,273639,-84.61876694,42.72554641
35.0,273641,-84.61875966,42.72947034
36.0,273643,-84.61875543,42.72460949
37.0,273644,-84.61875094,42.70427305
38.0,273646,-84.61874597,42.7266331
39.0,273649,-84.61873878,42.72580168
40.0,273658,-84.61863085,42.72765166
41.0,273671,-84.61854894,42.69857583
42.0,273683,-84.61841806,42.72236051
43.0,273687,-84.61839657,42.74886331
44.0,273690,-84.61838343,42.72338886
45.0,273691,-84.61838175,42.72452274
46.0,273696,-84.61835129,42.7211082
47.0,273699,-84.61832415,42.72945993
48.0,273707,-84.61827144,42.73382458
49.0,273709,-84.61825764,42.73753669
50.0,273712,-84.61824325,42.75059083
51.0,273713,-84.61823893,42.74599796
52.0,273715,-84.61823473,42.74109177
53.0,273716,-84.61823055,42.74874828
54.0,273717,-84.61820564,42.75141022
55.0,273718,-84.61820101,42.72769152
56.0,273719,-84.61818055,42.73208055
57.0,273724,-84.61815272,42.74964409
58.0,273725,-84.61814707,42.75795092
59.0,273734,-84.61809318,42.70414447
60.0,273741,-84.61803569,42.74860256
61.0,273750,-84.61793952,42.70436662
62.0,273755,-84.61784856,42.69269274
63.0,273776,-84.61764473,42.70301583
64.0,273779,-84.61759793,42.74828573
65.0,273790,-84.61749694,42.76708311
66.0,273797,-84.61745651,42.76457947
67.0,273815,-84.61732073,42.73039146
68.0,273832,-84.61717273,42.7516179
69.0,273855,-84.61706215,42.7247109
70.0,273860,-84.61705169,42.73753129
71.0,273863,-84.61704034,42.73382378
72.0,273864,-84.61703542,42.73632607
73.0,273869,-84.61702405,42.74964555
74.0,273871,-84.6170115,42.7386922
75.0,273873,-84.61699289,42.74108638
76.0,273877,-84.61696778,42.75141724
77.0,273879,-84.61696395,42.73118416
78.0,273880,-84.61696086,42.69027408
79.0,273887,-84.61691622,42.69872803
80.0,273893,-84.61689099,42.72664277
81.0,273894,-84.61687994,42.725569
82.0,273899,-84.61684277,42.75796845
83.0,273905,-84.61681390000001,42.74470221
84.0,273908,-84.61678881,42.74699108
85.0,273909,-84.61678,42.74651869
86.0,273910,-84.61677195,42.74107984
87.0,273912,-84.61673571,42.75112146
88.0,273920,-84.61665503,42.72318699
89.0,273930,-84.61649872,42.72664017
90.0,273935,-84.61648100000001,42.68979214
91.0,273936,-84.61647534,42.73083706
92.0,273937,-84.61645303,42.75671571
93.0,273942,-84.61640428,42.68986233
94.0,273944,-84.61639612,42.76666773
95.0,273950,-84.6162945,42.769147
96.0,273951,-84.61629075,42.76883591
97.0,273954,-84.61626896,42.72127418
98.0,273982,-84.61598103,42.72033317
99.0,273984,-84.61596983,42.74972853
100.0,273986,-84.61596383,42.72006544
101.0,273987,-84.61596288,42.751332500000004
102.0,273995,-84.61591822,42.7247125
103.0,274008,-84.61579171,42.73631176
104.0,274011,-84.61576736,42.73868576
105.0,274012,-84.61576129,42.73379764
106.0,274018,-84.61573744,42.74108448
107.0,274021,-84.61569394,42.76425512
108.0,274024,-84.61567427,42.7555047
109.0,274032,-84.61557688,42.75593258
110.0,274033,-84.61557661,42.70451373
111.0,274044,-84.61552178,42.75302721
112.0,274052,-84.61544319,42.76497436
113.0,274082,-84.61518379,42.74777735
114.0,274085,-84.61516897,42.74470171
115.0,274086,-84.61516607,42.74106035
116.0,274088,-84.61515546,42.74650568
117.0,274105,-84.61500857,42.75436489
118.0,274107,-84.61498152,42.72141039
119.0,274108,-84.6149802,42.75550248
120.0,274109,-84.61495328,42.69046435
121.0,274113,-84.61491403,42.76750767
122.0,274116,-84.6148546,42.75003781
123.0,274117,-84.61484458,42.75152182
124.0,274125,-84.61473084,42.72471582
125.0,274146,-84.61460223,42.73866821
126.0,274147,-84.61460013,42.73380648
127.0,274148,-84.61459647,42.73630656
