node_id,type,x,y,demand,Q,k,L,B
1,-1,40,40,0,220,4,37,38
2,1,22,22,18,,,,
3,0,36,26,26,,,,
4,1,21,45,11,,,,
5,0,45,35,30,,,,
6,1,55,20,21,,,,
7,0,33,34,19,,,,
8,1,50,50,15,,,,
9,0,55,45,16,,,,
10,1,26,59,29,,,,
11,0,40,66,26,,,,
12,1,55,65,37,,,,
13,0,35,51,16,,,,
14,1,62,35,12,,,,
15,0,62,57,31,,,,
16,1,62,24,8,,,,
17,0,21,36,19,,,,
18,1,33,44,20,,,,
19,0,9,56,13,,,,
20,1,62,48,15,,,,
21,0,66,14,22,,,,
22,1,44,13,28,,,,
23,0,26,13,12,,,,
24,1,11,28,6,,,,
25,0,7,43,27,,,,
26,1,17,64,14,,,,
27,0,41,46,18,,,,
28,1,55,34,17,,,,
29,0,35,16,29,,,,
30,1,52,26,13,,,,
31,0,43,26,22,,,,
32,1,31,76,25,,,,
33,0,22,53,28,,,,
34,1,26,29,27,,,,
35,0,50,40,19,,,,
36,1,55,50,10,,,,
37,0,54,10,12,,,,
38,1,60,15,14,,,,
39,0,47,66,24,,,,
40,1,30,60,16,,,,
41,0,30,50,33,,,,
42,1,12,17,15,,,,
43,0,15,14,11,,,,
44,1,16,19,18,,,,
45,0,21,48,17,,,,
46,1,50,30,21,,,,
47,0,51,42,27,,,,
48,1,50,15,19,,,,
49,0,48,21,20,,,,
50,1,12,38,5,,,,
51,0,15,56,22,,,,
52,1,29,39,12,,,,
53,0,54,38,19,,,,
54,1,55,57,22,,,,
55,0,67,41,16,,,,
56,1,10,70,7,,,,
57,0,6,25,26,,,,
58,1,65,27,14,,,,
59,0,40,60,21,,,,
60,1,70,64,24,,,,
61,0,64,4,13,,,,
62,1,36,6,15,,,,
63,0,30,20,18,,,,
64,1,20,30,11,,,,
65,0,15,5,28,,,,
66,1,50,70,9,,,,
67,0,57,72,37,,,,
68,1,45,42,30,,,,
69,0,38,33,10,,,,
70,1,50,4,8,,,,
71,0,66,8,11,,,,
72,1,59,5,3,,,,
73,0,35,60,1,,,,
74,1,27,24,6,,,,
75,0,40,20,10,,,,
76,1,40,37,20,,,,
